objName,objAltName1,objAltName2,objAltName3,NED_name,NED_redshift,raMean,decMean,TransientName,TransientRA,TransientDEC
PSO J142154.992+442157.082,,,,WISEA J142154.99+442156.9,0.078344,215.47910758,44.36583822,SN2019bnh,215.4791458333333,44.365844444444456
PSO J115538.319+442301.834,,,,WISEA J115538.34+442301.9,0.023117,178.90965497,44.38384121,SN2006db,178.91120833333332,44.38371944444447
PSO J170922.050+442329.739,,,,2MASX J17092204+4423296,0.0594,257.34187855,44.39159829,PTF10iyc,257.34083333333325,44.39330555555557
PSO J083517.491+442408.853,,,,WISEA J083517.38+442408.4,,128.82284344,44.40246771,PSc090227,128.82295,44.40655
PSO J083643.215+442416.625,,,,WISEA J083643.20+442416.6,0.331547,129.18006572,44.4046058,PSc120700,129.18024166666663,44.40403055555557
PSO J125149.859+442358.460,,,,WISEA J125149.81+442357.5,0.120342,192.95775761,44.39955367,PTF12ekl,192.95741666666663,44.40038888888889
PSO J212042.493+442359.213,,,,WISEA J212042.46+442359.3,0.01299,320.17701438,44.39980182,SN2001fh,320.17707916666666,44.39811111111111
PSO J174520.283+442430.423,,,,WISEA J174520.28+442432.6,,266.33452537,44.40845506,SN2019ovi,266.3339041666666,44.40888333333333
PSO J084547.743+442514.297,,,,WISEA J084547.74+442514.6,,131.44895199,44.42061953,PSc490008,131.44859583333331,44.42060555555555
PSO J083634.700+442539.052,,,,WISEA J083634.70+442538.9,,129.14458468,44.42751321,PSc330056,129.14400416666666,44.42769166666666
PSO J061226.134+442619.993,,,,UGC 03418,0.022492,93.1088849,44.43888492,SN2002as,93.10437916666666,44.438
PSO J030045.824+442706.660,,,,UGC 02468,0.030187,45.19094871,44.45185027,SN2003kd,45.19082916666666,44.45361111111112
PSO J032824.262+442901.436,,,,WISEA J032824.27+442901.3,,52.10109972,44.48372545,SN2019ulr,52.10175416666666,44.48501388888889
PSO J084103.836+442913.987,,,,WISEA J084103.82+442914.1,0.497721,130.26600982,44.48723572,PSc110725,130.26615416666664,44.486575
