Unnamed: 0,ra,dec,candidate_id,flux,fluxerr,magzp,filter,meanmjd,rb,rbcut,model,objectdata_id_1,tag,num_rb_obs
234406,149.87277589479,3.18375502996458,DC21fyx,17961.673912111,270.326419967852,29.9791210155651,i,59331.1153985648,1.0,0.3,rknop_20211105_19.h5,322162,default,185
234477,149.87277589479,3.18375502996458,DC21fyx,5119.54047885775,228.631925797981,28.9644469527718,g,59331.1252739422,1.0,0.3,rknop_20211105_19.h5,325276,default,185
234484,149.87277589479,3.18375502996458,DC21fyx,16586.0834785894,296.580118093352,29.9763836614916,i,59331.1280412448,1.0,0.3,rknop_20211105_19.h5,325513,default,185
234653,149.87277589479,3.18375502996458,DC21fyx,5101.9468055467,114.809348054083,28.9663192211371,g,59333.0314619422,1.0,0.3,rknop_20211105_19.h5,332371,default,185
234701,149.87277589479,3.18375502996458,DC21fyx,4006.62154092794,154.692728817261,29.5087597298137,r,59333.1182771852,1.0,0.3,rknop_20211105_19.h5,342714,default,185
234742,149.87277589479,3.18375502996458,DC21fyx,5111.54281991792,108.694381720532,28.9574595556048,g,59333.0440604422,1.0,0.3,rknop_20211105_19.h5,335866,default,185
234839,149.87277589479,3.18375502996458,DC21fyx,16079.1164833096,221.104215824503,29.9568746432611,i,59333.1198603748,1.0,0.3,rknop_20211105_19.h5,347209,default,185
237471,149.87277589479,3.18375502996458,DC21fyx,11594.0836374018,178.008583692662,29.2769888436182,i,59352.0107516533,1.0,0.3,rknop_20211105_19.h5,455547,default,185
237579,149.87277589479,3.18375502996458,DC21fyx,7724.11726648884,149.317113969605,29.2656818543323,g,59355.979736593,1.0,0.3,rknop_20211105_19.h5,459767,default,185
237764,149.87277589479,3.18375502996458,DC21fyx,4885.21599305339,154.666114896031,29.3299225328146,r,59355.9822176726,1.0,0.3,rknop_20211105_19.h5,460415,default,185
